,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.593,0.503,8,-6.725,0,0.22,0.293,0.0,0.405,0.71,178.781,audio_features,1SC5rEoYDGUK4NfG82494W,spotify:track:1SC5rEoYDGUK4NfG82494W,https://api.spotify.com/v1/tracks/1SC5rEoYDGUK4NfG82494W,https://api.spotify.com/v1/audio-analysis/1SC5rEoYDGUK4NfG82494W,137704,4
1,0.685,0.717,0,-6.456,0,0.0411,0.101,1.87e-05,0.266,0.549,127.963,audio_features,3grVoZ10bm2jUGpo7BxpuF,spotify:track:3grVoZ10bm2jUGpo7BxpuF,https://api.spotify.com/v1/tracks/3grVoZ10bm2jUGpo7BxpuF,https://api.spotify.com/v1/audio-analysis/3grVoZ10bm2jUGpo7BxpuF,221203,4
2,0.741,0.691,10,-7.395,0,0.0672,0.0221,0.0,0.0476,0.892,150.087,audio_features,5Z9KJZvQzH6PFmb8SNkxuk,spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,https://api.spotify.com/v1/tracks/5Z9KJZvQzH6PFmb8SNkxuk,https://api.spotify.com/v1/audio-analysis/5Z9KJZvQzH6PFmb8SNkxuk,212353,4
3,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.981,audio_features,0e8nrvls4Qqv5Rfa2UhqmO,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,https://api.spotify.com/v1/tracks/0e8nrvls4Qqv5Rfa2UhqmO,https://api.spotify.com/v1/audio-analysis/0e8nrvls4Qqv5Rfa2UhqmO,143901,4
4,0.519,0.464,10,-18.957,0,0.56,0.905,0.0,0.448,0.287,109.744,audio_features,1BMu5TWvalAGpi5jlhFEBb,spotify:track:1BMu5TWvalAGpi5jlhFEBb,https://api.spotify.com/v1/tracks/1BMu5TWvalAGpi5jlhFEBb,https://api.spotify.com/v1/audio-analysis/1BMu5TWvalAGpi5jlhFEBb,24006,4
5,0.841,0.527,6,-8.116,1,0.149,0.0427,1.54e-06,0.12,0.582,163.975,audio_features,6bpq1jGkVz66Q3LYeoXdjZ,spotify:track:6bpq1jGkVz66Q3LYeoXdjZ,https://api.spotify.com/v1/tracks/6bpq1jGkVz66Q3LYeoXdjZ,https://api.spotify.com/v1/audio-analysis/6bpq1jGkVz66Q3LYeoXdjZ,174164,4
6,0.708,0.598,3,-4.969,0,0.0617,0.202,0.0,0.183,0.561,144.09,audio_features,3JR2RztQcOjUQGQSybxDIO,spotify:track:3JR2RztQcOjUQGQSybxDIO,https://api.spotify.com/v1/tracks/3JR2RztQcOjUQGQSybxDIO,https://api.spotify.com/v1/audio-analysis/3JR2RztQcOjUQGQSybxDIO,161667,4
7,0.768,0.764,0,-5.82,1,0.0295,0.0963,1.03e-05,0.114,0.472,92.965,audio_features,6th8IdY4lYeM0QlSQJhhkp,spotify:track:6th8IdY4lYeM0QlSQJhhkp,https://api.spotify.com/v1/tracks/6th8IdY4lYeM0QlSQJhhkp,https://api.spotify.com/v1/audio-analysis/6th8IdY4lYeM0QlSQJhhkp,170323,4
8,0.923,0.533,11,-6.016,0,0.262,0.0504,0.0,0.102,0.587,133.991,audio_features,7zQirOExB0VR8yWUOqYeio,spotify:track:7zQirOExB0VR8yWUOqYeio,https://api.spotify.com/v1/tracks/7zQirOExB0VR8yWUOqYeio,https://api.spotify.com/v1/audio-analysis/7zQirOExB0VR8yWUOqYeio,145075,4
9,0.742,0.734,8,-5.582,0,0.0407,0.629,0.00314,0.0834,0.541,114.952,audio_features,5S4PZ7AuYlYiVIVik3wHUf,spotify:track:5S4PZ7AuYlYiVIVik3wHUf,https://api.spotify.com/v1/tracks/5S4PZ7AuYlYiVIVik3wHUf,https://api.spotify.com/v1/audio-analysis/5S4PZ7AuYlYiVIVik3wHUf,146006,4
